# File generated by CMD 3.9 (http://stev.oapd.inaf.it/cmd) on Sun Jun  7 20:14:30 UTC 2026
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: HST/ACS WFC - updated filters and zeropoints, 2021
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  F435Wmag  F475Wmag  F555Wmag  F606Wmag  F625Wmag  F775Wmag  F814Wmag
0.00015547 -2.00000 10.07918 0.0936335474 1.1156111859    0.094 -3.048  3.5137  5.463    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.83e-17      0.00 7.473e-01 2.525e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.636e-04 12.390 16.009 15.262 14.223 13.531 13.151 11.787 11.616
0.00015547 -2.00000 10.07918 0.0979434103 1.1536936888    0.098 -2.915  3.5322  5.424    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -9.5e-17      0.00 7.463e-01 2.536e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.637e-04 12.057 15.303 14.625 13.637 12.988 12.611 11.454 11.302
0.00015547 -2.00000 10.07918 0.1035686582 1.2002434792    0.103 -2.750  3.5551  5.375    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.43e-16      0.00 7.449e-01 2.550e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.636e-04 11.645 14.453 13.850 12.964 12.347 11.979 11.036 10.905
0.00015547 -2.00000 10.07918 0.1234388798 1.3415665689    0.123 -2.474  3.5829  5.287    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.73e-16      0.00 7.417e-01 2.581e-01 2.943e-05 7.940e-06 7.201e-05 -1.000 1.637e-04 10.956 13.295 12.765 12.008 11.452 11.107 10.337 10.226
0.00015547 -2.00000 10.07918 0.1433091164 1.4560319688    0.143 -2.298  3.5964  5.229    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.07e-16      0.00 7.396e-01 2.602e-01 2.943e-05 7.940e-06 7.201e-05 -1.000 1.637e-04 10.514 12.654 12.153 11.451 10.936 10.609 9.891 9.786
0.00015547 -2.00000 10.07918 0.1631793380 1.5515256229    0.163 -2.160  3.6051  5.182    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.53e-16      0.00 7.384e-01 2.614e-01 2.943e-05 7.940e-06 7.201e-05 -1.000 1.636e-04 10.170 12.190 11.707 11.037 10.548 10.232 9.542 9.441
0.00015547 -2.00000 10.07918 0.2029198259 1.7036916472    0.203 -1.946  3.6168  5.109    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.82e-16      0.00 7.378e-01 2.621e-01 2.943e-05 7.940e-06 7.201e-05 -1.000 1.636e-04 9.634 11.504 11.043 10.412 9.957 9.656 9.000 8.905
0.00015547 -2.00000 10.07918 0.2525953948 1.8468695073    0.252 -1.749  3.6275  5.051    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.33e-15      0.00 7.380e-01 2.618e-01 2.943e-05 7.940e-06 7.201e-05 -1.000 1.636e-04 9.143 10.885 10.443 9.844 9.418 9.131 8.503 8.413
0.00015547 -2.00000 10.07918 0.3022710085 1.9574397077    0.302 -1.598  3.6363  5.013    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.8e-15      0.00 7.381e-01 2.618e-01 2.942e-05 7.941e-06 7.201e-05 -1.000 1.636e-04 8.765 10.407 9.979 9.405 9.002 8.725 8.120 8.034
0.00015547 -2.00000 10.07918 0.3519465327 2.0465963009    0.352 -1.473  3.6445  4.987    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -2.29e-15      0.00 7.382e-01 2.616e-01 2.940e-05 7.942e-06 7.201e-05 -1.000 1.636e-04 8.451 10.007 9.593 9.039 8.655 8.388 7.803 7.720
0.00015547 -2.00000 10.07918 0.4016221166 2.1207314881    0.401 -1.347  3.6534  4.955    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.97e-15      0.00 7.502e-01 2.496e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.637e-04 8.139 9.604 9.205 8.673 8.308 8.051 7.486 7.407
0.00015547 -2.00000 10.07918 0.4512977004 2.1838121607    0.451 -1.194  3.6681  4.911    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.19e-15      0.00 7.507e-01 2.491e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.637e-04 7.756 9.082 8.706 8.209 7.874 7.632 7.101 7.028
0.00015547 -2.00000 10.07918 0.5009732842 2.2384552293    0.501 -1.023  3.6852  4.854    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -6.3e-15      0.00 7.514e-01 2.484e-01 2.938e-05 7.927e-06 7.190e-05 -1.000 1.636e-04 7.328 8.505 8.160 7.700 7.396 7.172 6.676 6.609
0.00015547 -2.00000 10.07918 0.5506489277 2.2841947944    0.550 -0.819  3.7053  4.771    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.06e-14      0.00 7.848e-01 2.151e-01 2.566e-05 6.927e-06 6.286e-05 -1.000 9.984e-05 6.818 7.839 7.532 7.114 6.841 6.635 6.178 6.118
0.00015547 -2.00000 10.07918 0.6003244519 2.3213410765    0.600 -0.611  3.7305  4.701    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.77e-14      0.00 7.975e-01 2.024e-01 2.432e-05 6.570e-06 5.965e-05 -1.000 1.154e-04 6.297 7.152 6.893 6.524 6.284 6.099 5.687 5.635
0.00015547 -2.00000 10.07918 0.6074755192 2.3261163724    0.607 -0.579  3.7348  4.691    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.91e-14      0.00 7.997e-01 2.002e-01 2.409e-05 6.508e-06 5.909e-05 -1.000 1.078e-04 6.218 7.049 6.797 6.437 6.202 6.019 5.614 5.564
0.00015547 -2.00000 10.07918 0.6185930967 2.3332888643    0.618 -0.530  3.7414  4.676    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -2.16e-14      0.00 8.033e-01 1.965e-01 2.371e-05 6.406e-06 5.817e-05 -1.000 1.528e-04 6.094 6.889 6.648 6.300 6.073 5.895 5.501 5.452
0.00015547 -2.00000 10.07918 0.6284974217 2.3394334541    0.628 -0.485  3.7472  4.662    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -2.42e-14      0.00 8.067e-01 1.931e-01 2.335e-05 6.311e-06 5.732e-05 -1.000 1.417e-04 5.983 6.747 6.516 6.179 5.959 5.786 5.402 5.355
0.00015547 -2.00000 10.07918 0.6381110549 2.3451883889    0.638 -0.441  3.7528  4.647    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -1.22e-15      0.00 8.102e-01 1.897e-01 2.299e-05 6.215e-06 5.646e-05 -1.000 1.269e-04 5.874 6.610 6.389 6.061 5.848 5.679 5.306 5.260
0.00015547 -2.00000 10.07918 0.6494354606 2.3517167157    0.649 -0.389  3.7592  4.629    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -2.04e-14      0.00 8.145e-01 1.854e-01 2.254e-05 6.096e-06 5.539e-05 -1.000 1.116e-04 5.744 6.447 6.238 5.923 5.717 5.554 5.191 5.148
0.00015547 -2.00000 10.07918 0.6499999762 2.3520353107    0.650 -0.387  3.7595  4.628    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1  -3.1e-14      0.00 8.147e-01 1.851e-01 2.252e-05 6.090e-06 5.533e-05 -1.000 1.561e-04 5.737 6.439 6.230 5.915 5.711 5.547 5.185 5.142
0.00015547 -2.00000 10.07918 0.6588703394 2.3569591416    0.659 -0.345  3.7644  4.611    1  0.000  0.542     0.00     0.00     0.00     0.00     0.00 -1 -3.45e-14      0.00 8.190e-01 1.808e-01 2.207e-05 5.971e-06 5.426e-05 -1.000 1.637e-04 5.633 6.314 6.113 5.807 5.607 5.448 5.094 5.052
0.00015547 -2.00000 10.07918 0.6690781713 2.3624399905    0.669 -0.297  3.7698  4.591    1  0.000  0.542     0.00     0.00     0.00     0.00     0.00 -1 -3.92e-14      0.00 8.243e-01 1.756e-01 2.153e-05 5.825e-06 5.296e-05 -1.000 1.512e-04 5.512 6.169 5.976 5.680 5.487 5.331 4.986 4.946
0.00015547 -2.00000 10.07918 0.6787885427 2.3674781869    0.679 -0.250  3.7749  4.571    1  0.000  0.541     0.00     0.00     0.00     0.00     0.00 -1 -3.25e-14      0.00 8.296e-01 1.702e-01 2.097e-05 5.678e-06 5.164e-05 -1.000 1.357e-04 5.394 6.031 5.846 5.558 5.371 5.219 4.882 4.842
0.00015547 -2.00000 10.07918 0.6880588531 2.3721357869    0.688 -0.203  3.7798  4.550    1  0.000  0.541     0.00     0.00     0.00     0.00     0.00 -1  -1.5e-14      0.00 8.351e-01 1.648e-01 2.041e-05 5.528e-06 5.029e-05 -1.000 1.145e-04 5.278 5.895 5.717 5.439 5.256 5.108 4.779 4.741
0.00015547 -2.00000 10.07918 0.6962858438 2.3761499717    0.696 -0.160  3.7840  4.529    1  0.000  0.541     0.00     0.00     0.00     0.00     0.00 -1 -5.49e-15      0.00 8.401e-01 1.597e-01 1.988e-05 5.388e-06 4.903e-05 -1.000 1.185e-04 5.171 5.772 5.600 5.329 5.151 5.006 4.684 4.647
0.00015547 -2.00000 10.07918 0.6999999881 2.3779266974    0.700 -0.141  3.7859  4.519    1  0.000  0.540     0.00     0.00     0.00     0.00     0.00 -1 -5.95e-14      0.00 8.425e-01 1.574e-01 1.964e-05 5.322e-06 4.844e-05 -1.000 1.276e-04 5.122 5.716 5.547 5.279 5.103 4.959 4.640 4.604
0.00015547 -2.00000 10.07918 0.7091768384 2.3822249806    0.709 -0.090  3.7903  4.492    1  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -6.85e-14      0.00 8.478e-01 1.521e-01 1.909e-05 5.189e-06 4.727e-05 -1.000 1.202e-04 4.996 5.572 5.409 5.149 4.978 4.838 4.526 4.491
0.00015547 -2.00000 10.07918 0.7176503539 2.3860817844    0.717 -0.041  3.7943  4.464    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -7.87e-14      0.00 8.522e-01 1.477e-01 1.864e-05 5.082e-06 4.633e-05 -1.000 1.276e-04 4.873 5.434 5.276 5.023 4.856 4.719 4.415 4.380
0.00015547 -2.00000 10.07918 0.7260162234 2.3897882022    0.726  0.010  3.7982  4.434    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -9.12e-14      0.00 8.561e-01 1.438e-01 1.826e-05 4.991e-06 4.554e-05 -1.000 7.713e-05 4.745 5.290 5.138 4.891 4.729 4.595 4.297 4.264
0.00015547 -2.00000 10.07918 0.7332008481 2.3928937652    0.733  0.057  3.8015  4.404    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -1.04e-13      0.00 8.591e-01 1.408e-01 1.799e-05 4.928e-06 4.500e-05 -1.000 8.076e-05 4.629 5.160 5.012 4.771 4.613 4.481 4.189 4.157
0.00015547 -2.00000 10.07918 0.7401607633 2.3958361767    0.740  0.105  3.8046  4.373    1  0.000  0.531     0.00     0.00     0.00     0.00     0.00 -1 -1.07e-13      0.00 8.617e-01 1.382e-01 1.776e-05 4.876e-06 4.455e-05 -1.000 1.358e-04 4.508 5.028 4.883 4.647 4.492 4.363 4.076 4.045
0.00015547 -2.00000 10.07918 0.7471207976 2.3987156813    0.746  0.157  3.8075  4.336    1  0.000  0.530     0.00     0.00     0.00     0.00     0.00 -1 -1.72e-14      0.00 8.640e-01 1.358e-01 1.756e-05 4.831e-06 4.417e-05 -1.000 1.519e-04 4.379 4.886 4.745 4.514 4.362 4.235 3.953 3.923
0.00015547 -2.00000 10.07918 0.7500000000 2.3998889087    0.749  0.179  3.8086  4.321    1  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1  -1.5e-13      0.00 8.650e-01 1.349e-01 1.748e-05 4.814e-06 4.402e-05 -1.000 1.608e-04 4.323 4.825 4.686 4.457 4.307 4.181 3.901 3.871
0.00015547 -2.00000 10.07918 0.7513623834 2.4004404547    0.751  0.189  3.8093  4.313    1  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1 -1.55e-13      0.00 8.651e-01 1.348e-01 1.749e-05 4.816e-06 4.404e-05 -1.000 1.618e-04 4.297 4.796 4.658 4.430 4.280 4.155 3.876 3.846
0.00015547 -2.00000 10.07918 0.7594360113 2.4036623257    0.759  0.258  3.8126  4.262    1  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1 -1.92e-13      0.00 8.656e-01 1.343e-01 1.753e-05 4.830e-06 4.419e-05 -1.000 6.492e-05 4.124 4.609 4.474 4.252 4.106 3.984 3.711 3.682
0.00015547 -2.00000 10.07918 0.7647926807 2.4057568483    0.764  0.308  3.8146  4.223    1  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1 -2.24e-13      0.00 8.658e-01 1.341e-01 1.756e-05 4.841e-06 4.430e-05 -1.000 9.665e-05 3.999 4.474 4.342 4.124 3.980 3.859 3.590 3.561
0.00015547 -2.00000 10.07918 0.7698709965 2.4077116109    0.769  0.358  3.8160  4.182    1  0.000  0.528     0.00     0.00     0.00     0.00     0.00 -1 -2.63e-13      0.00 8.649e-01 1.350e-01 1.770e-05 4.881e-06 4.467e-05 -1.000 1.000e-04 3.874 4.342 4.211 3.995 3.853 3.734 3.467 3.439
0.00015547 -2.00000 10.07918 0.7740224004 2.4092876895    0.773  0.402  3.8166  4.142    1  0.000  0.528     0.00     0.00     0.00     0.00     0.00 -1 -3.05e-13      0.00 8.638e-01 1.361e-01 1.786e-05 4.923e-06 4.506e-05 -1.000 9.993e-05 3.764 4.227 4.098 3.883 3.742 3.623 3.358 3.330
